ticker,name,sector,beta,ann_return_pct,ann_vol_pct,weight_pct,aum_millions
AAPL,Apple Inc,Technology,1.2,28,24,8.54,21.36
MSFT,Microsoft Corp,Technology,1.1,32,22,8.04,20.1
GOOGL,Alphabet Inc,Technology,1.15,25,26,6.53,16.33
JPM,JPMorgan Chase,Financials,1.25,18,28,7.04,17.59
GS,Goldman Sachs,Financials,1.4,20,30,5.53,13.82
BAC,Bank of America,Financials,1.35,15,29,4.52,11.31
JNJ,Johnson & Johnson,Healthcare,0.65,10,14,6.03,15.08
UNH,UnitedHealth Group,Healthcare,0.75,18,18,5.53,13.82
PFE,Pfizer Inc,Healthcare,0.7,8,20,3.52,8.79
XOM,ExxonMobil Corp,Energy,0.9,14,26,4.02,10.05
CVX,Chevron Corp,Energy,0.85,12,24,3.52,8.79
AMZN,Amazon.com Inc,Consumer Disc,1.3,22,28,7.04,17.59
TSLA,Tesla Inc,Consumer Disc,1.8,30,55,4.02,10.05
HD,Home Depot,Consumer Disc,1.05,16,20,3.52,8.79
PG,Procter & Gamble,Consumer Staples,0.55,9,13,5.03,12.56
KO,Coca-Cola Co,Consumer Staples,0.5,7,12,4.02,10.05
NEE,NextEra Energy,Utilities,0.6,11,15,4.02,10.05
AMT,American Tower,Real Estate,0.8,13,18,3.52,8.79
LIN,Linde PLC,Materials,0.85,15,18,3.02,7.54
CAT,Caterpillar Inc,Industrials,1.1,17,22,3.02,7.54
